"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"AS",661,"DFW","SEA",5,830,262,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",6547,"PSP","SFO",2,637,88,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.672912,0.136363,0.176093,0.160599,0.740968,0.211311,0.328966,0.646375,4,"Private",31577,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,3,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.782655,0.787879,0.325548,0.381317,0.636836,0.298183,0.32195,0.688941,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.121212,0.396322,0.593865,0.61106,0.505487,0.521104,0.377067,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.81424,0.136363,0.095723,0.229672,0.944702,0.246527,0.286873,0.835556,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,0,"?",224238,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,0,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.573876,0.757576,0.267297,0.147647,0.806452,0.320487,0.375268,0.688941,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.778373,0.560606,0.644766,0.301445,0.564518,0.258071,0.273786,0.787865,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.728587,0.136363,0.246527,0.328966,0.693671,0.413471,0.486401,0.494045,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.755889,0.772727,0.534841,0.739899,0.248769,0.298183,0.375268,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",2710,"DFW","ATL",7,345,129,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"CO",485,"PDX","EWR",5,460,307,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.77409,0.166666,0.267297,0.393723,0.806452,0.095723,0.270686,0.898618,1,"Private",207172,"Some-college",10,"Never-married","Sales","Other-relative","White","Female",0,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.849036,0.121212,0.182195,0.465905,0.850693,0.503386,0.295293,0.563135,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.826552,0.136363,0.352183,0.371058,0.551783,0.313051,0.11757,0.818741,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.800857,0.121212,0.211311,0.286873,0.788264,0.360635,0.167333,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"9E",4201,"ATL","DAB",4,795,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"XE",2861,"BTV","EWR",4,789,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.792826,0.136363,0.448232,0.527946,0.447364,0.42262,0.455243,0.551783,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"B6",67,"BUF","JFK",2,841,87,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AA",2274,"DFW","TUL",1,1045,60,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",499,"BDL","DFW",3,795,250,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"9E",3846,"ROC","DTW",4,1158,92,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",2730,"JAN","DFW",7,1100,95,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"B6",303,"IAD","LGB",7,1055,343,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"FL",297,"ATL","HOU",4,1011,136,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OH",6485,"JFK","BOS",5,750,78,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",38,"HOU","DAL",4,930,60,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",372,"MCI","STL",3,875,55,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",721,"CLT","MIA",3,1085,125,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"YV",2878,"PHX","ELP",5,825,70,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.665953,0.121212,0.110821,0.380601,0.658988,0.095723,0.270686,0.898618,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"EV",5213,"CHA","ATL",5,1043,52,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"FL",927,"MCI","ATL",2,718,111,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.820128,0.121212,0.788889,0.423253,0.37143,0.274428,0.195583,0.914178,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",4229,"PIT","ORD",3,915,100,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.76606,0.136363,0.140874,0.244784,0.835556,0.309593,0.436644,0.536384,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",3755,"ORD","DTW",1,1220,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",7021,"LAX","PDX",3,1280,141,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.861349,0.30303,0.425858,0.464437,0.526776,0.265737,0.237129,0.680771,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.755353,0.106061,0.369316,0.563318,0.574791,0.396322,0.124681,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"DL",1980,"GEG","SLC",5,370,110,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.885439,0.136363,0.281746,0.328966,0.740968,0.352183,0.371058,0.693672,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2020,"SMF","LAS",1,1230,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2378,"HOU","ELP",5,930,120,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",1997,"ORD","CLT",6,350,119,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.743576,0.121212,0.324948,0.337945,0.754839,0.239667,0.154038,0.914178,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",1551,"SFO","MDW",2,1070,245,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.789079,0.787879,0.348039,0.381317,0.636836,0.342791,0.428586,0.599079,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.809422,0.106061,0.152295,0.347168,0.769087,0.360635,0.167333,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.641328,0.742424,0.225883,0.37251,0.69204,0.262645,0.279026,0.766618,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"YV",2826,"LGB","PHX",2,585,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.578158,0.772727,0.285327,0.279026,0.766618,0.194596,0.251918,0.797081,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.657923,0.151515,0.232984,0.311697,0.806452,0.170145,0.154038,0.96086,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.810492,0.651515,0.229239,0.557029,0.582742,0.320487,0.32195,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6826,"MRY","SFO",3,370,35,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"EV",5259,"ATL","LEX",4,650,78,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",438,"LAX","ORD",2,1058,239,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",1247,"ORD","LAX",5,680,265,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.798715,0.045454,0.211311,0.328966,0.693671,0.712417,0.432392,0.522053,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"OO",7794,"SLC","SUN",3,1020,72,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"MQ",2969,"DFW","ABI",2,1255,50,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",1979,"SAN","SJC",4,530,80,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.843683,0.136363,0.281746,0.328966,0.740968,0.34395,0.361765,0.727453,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"EV",7122,"IAD","ALB",7,1330,77,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.776231,0.136363,0.387401,0.328966,0.599079,0.190594,0.521104,0.588508,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",3940,"ORD","LEX",2,740,85,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"MQ",3284,"DFW","BTR",1,1335,75,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.909529,0.151515,0.204906,0.569492,0.587408,0.610449,0.557774,0.529954,2,"Federal-gov",212465,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.731263,0.121212,0.211311,0.286873,0.788264,0.396322,0.124681,0.754839,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.84636,0.121212,0.289259,0.380601,0.802767,0.179736,0.354126,0.69204,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",6939,"MFR","PDX",7,335,74,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"FL",1049,"DCA","RSW",4,480,166,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.778373,0.136363,0.035219,0.41315,0.693671,0.176093,0.160599,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AA",1600,"DFW","DCA",3,555,164,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.748929,0.80303,0.381871,0.369318,0.561945,0.298183,0.375268,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"UA",387,"MSP","DEN",1,1167,135,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"XE",2848,"JAX","EWR",7,1090,139,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.797645,0.136363,0.176093,0.328966,0.740968,0.222082,0.370562,0.673082,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"US",187,"SAN","PHX",1,1145,77,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"XE",2118,"CLE","ALB",3,1135,78,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.741435,0.121212,0.289259,0.423253,0.658988,0.253572,0.220024,0.842235,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.83833,0.136363,0.211311,0.371058,0.693671,0.246527,0.328966,0.646375,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"OO",4749,"SLC","ONT",2,910,108,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"WN",2362,"SNA","SMF",5,450,90,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.861349,0.075758,0.796325,0.766256,0.099846,0.265737,0.273482,0.639927,4,"Private",156052,"HS-grad",9,"Widowed","Other-service","Unmarried","Black","Female",1,0,0,"United-States",1
"YV",2664,"CLT","MDT",4,1070,91,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.841006,0.121212,0.253572,0.465905,0.658988,0.296154,0.273482,0.844158,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.813704,0.136363,0.246527,0.328966,0.693671,0.105656,0.371058,0.740968,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"AS",138,"ANC","ORD",5,1405,345,0.802462,0.136363,0.316964,0.41315,0.551783,0.563491,0.876164,0.220714,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AA",590,"SAN","ORD",7,885,235,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"UA",339,"BOS","DEN",5,456,283,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.71788,0.121212,0.216225,0.287852,0.787164,0.110822,0.380601,0.658989,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",1
"DL",1843,"JFK","SEA",7,1050,380,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"WN",1480,"OAK","HOU",6,1040,215,0.698608,0.136363,0.281746,0.286873,0.599079,0.204906,0.569492,0.587408,2,"State-gov",77516,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",1,0,2,"United-States",0
"AS",138,"ANC","ORD",5,1405,345,0.711456,0.136363,0.316964,0.41315,0.646375,0.170145,0.361765,0.680771,3,"Private",234721,"11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,2,"United-States",0
