"col_1","col_2","col_3","col_4","col_5","col_6","binaryClass"
0.4299,2.8953,12.8292,8.9221,15.2701,11.4605,N
6.2579,7.8243,8.4519,8.8543,23.3858,10.7387,P
0.3974,8.0278,5.6787,9.284,16.4831,21.5757,P
21.1552,13.9028,9.3071,8.0155,8.8614,17.7077,P
19.0431,2.7583,6.5946,9.2317,9.3823,11.4504,N
1.3782,6.7839,7.4807,8.6488,11.3375,11.1301,P
0.7368,13.4286,7.5387,10.0109,8.9446,18.0976,N
8.8735,16.1646,10.2357,10.5211,9.8605,11.3642,P
9.768,8.5725,17.0749,15.3615,14.4116,9.4963,P
5.6264,11.8239,8.7106,8.4908,10.4614,11.3233,N
16.378,10.3553,4.6545,6.8548,10.105,9.691,P
18.5283,5.9372,9.347,9.6676,9.5548,11.6149,P
7.3886,8.1652,8.5325,6.2043,9.6738,13.0572,P
0.0071,5.3567,9.4869,9.4305,10.5343,11.1169,P
13.0221,9.6005,8.4475,9.3559,12.3319,12.8088,N
16.8277,10.5383,7.1993,10.442,11.007,11.7902,N
3.7236,6.5014,10.5385,8.7534,8.1327,9.2923,P
5.7848,4.8838,16.4665,11.2403,9.605,16.3185,P
9.314,4.2122,10.6061,10.4467,23.7659,20.2284,P
6.7691,8.4658,11.248,9.9371,14.6812,12.6114,P
15.3287,6.3022,6.0167,9.8847,8.6945,11.0749,N
10.101,2.6497,8.2846,22.5965,10.4717,11.9678,P
4.1953,5.2729,10.7325,9.0315,9.5769,10.5292,N
1.9926,32.5443,17.2543,8.0902,8.0438,16.3415,P
0.6187,4.9295,6.8995,10.0564,11.4876,9.2918,N
5.1272,9.8609,6.0751,7.4815,10.6628,12.2836,N
18.558,4.7712,9.8564,15.0582,12.7227,9.6745,P
5.6455,16.4433,26.1678,11.909,9.6984,10.4679,P
8.3304,9.658,7.6549,11.7888,9.5312,9.8784,P
4.8041,12.6759,11.4962,9.3623,18.3506,9.1706,P
0.4363,7.6513,11.7138,12.9642,12.3593,14.4215,P
8.2576,9.9735,15.6201,7.517,9.4306,11.5418,N
10.876,11.9478,12.4259,8.2949,10.1196,11.1123,N
3.7371,5.6193,7.905,13.4644,8.1813,11.5765,P
15.9962,4.6469,6.3502,12.9294,9.2901,11.9236,N
0.6696,2.9824,17.4267,11.2543,18.4324,9.5837,N
11.511,9.0662,8.1775,14.0808,9.7923,10.1133,P
6.9169,16.1783,9.4538,8.8766,14.5805,15.4996,P
4.6231,7.5183,27.4643,13.0604,8.9023,11.36,N
3.7866,2.2985,7.1579,19.6719,19.9727,13.3245,P
5.4695,1.1813,9.9989,8.9511,9.4509,15.618,P
0.128,29.4158,4.7628,8.8579,8.613,20.6044,P
20.7868,13.3514,46.0014,15.5619,9.7303,12.6749,N
5.4617,11.7925,12.1116,8.2087,7.9975,9.0055,P
0.1018,5.1654,10.9705,15.8135,10.5808,8.5179,P
6.0875,6.8667,13.2563,12.0431,13.4592,9.664,N
2.1051,1.1483,9.3228,9.9976,10.8777,9.2594,P
2.9204,8.9124,10.3345,12.3801,10.6168,14.496,P
3.3453,13.2711,10.5226,11.663,10.2392,10.616,P
0.0007,14.1491,6.389,15.2304,8.1718,9.5571,P
0.244,10.6294,9.2311,7.9609,9.3158,11.425,P
2.023,12.8698,10.319,15.3953,8.237,12.9683,N
16.2734,7.5179,12.7459,6.6851,9.897,23.736,P
4.6089,29.617,11.9721,8.9147,10.5091,10.6118,N
4.0192,9.7449,7.5006,7.6185,13.0084,9.3642,N
43.3336,7.5388,16.2982,11.1429,9.836,19.8721,N
2.518,7.5237,8.2311,7.3613,10.8382,11.5747,P
3.9739,12.3986,10.4509,9.3518,12.2614,9.4288,P
2.9465,8.9141,9.0174,10.2662,10.1925,12.5184,P
27.2462,7.7011,8.1086,19.7341,8.4043,19.4513,N
6.912,12.7284,12.3477,12.4505,9.2405,10.1366,P
0.483,6.9753,13.8334,10.2228,11.4029,13.3824,P
3.2393,15.6012,9.6789,31.2373,10.0086,10.8854,N
11.5831,19.6789,9.7742,11.2462,15.0519,8.3673,N
4.9243,1.9251,9.5392,10.3344,23.3396,9.6367,P
1.3817,3.2625,8.7319,30.4117,12.5206,9.8118,P
4.9052,12.2225,10.3306,7.6679,10.8284,8.5183,P
3.9428,9.3803,9.8998,9.8508,9.478,14.9406,P
24.3931,6.857,15.4367,7.4017,10.9175,13.9414,P
11.453,15.1865,8.7309,10.5601,7.321,9.9439,N
11.2932,5.7638,5.1665,18.7506,11.7465,11.0565,P
1.405,11.5304,10.6554,9.8447,30.4948,12.13,N
2.011,6.041,4.9915,13.6763,11.4433,12.546,N
2.279,2.7208,17.7791,9.7135,10.5516,11.4957,N
8.9138,12.3982,14.6527,11.1671,9.5572,13.9652,P
6.9028,6.3193,13.9474,12.9727,8.9427,11.2837,P
15.0769,12.8473,9.9407,7.532,13.9141,8.3141,P
0.5636,4.2978,10.7487,10.9037,9.7953,9.0344,N
7.8241,5.4868,6.3098,10.2702,11.1974,10.0247,P
1.6143,8.9214,21.8479,7.8572,7.3846,9.1016,P
1.0981,15.0852,11.0187,11.7121,21.1507,24.5554,N
14.215,3.3468,12.5462,9.4049,9.5871,12.0075,N
18.1373,5.0679,16.3264,9.0184,11.0081,13.6065,N
8.5935,6.306,11.6544,31.4467,10.3805,10.7579,N
33.3507,2.7325,13.9698,8.4193,12.581,15.467,N
7.3695,8.3199,10.8594,17.9615,12.6956,9.5905,P
3.9223,10.9769,7.1812,9.8407,9.687,9.1533,N
12.3383,5.8681,18.8727,10.0456,10.3997,12.0868,N
3.7144,13.1174,83.7629,10.1401,10.5118,8.2439,P
0.5975,9.6068,31.3197,9.9179,8.3316,19.4434,N
10.8817,1.5335,7.1359,10.1928,13.674,12.3706,N
2.3052,10.8418,30.3943,8.1235,10.9766,11.3474,P
2.4141,9.393,8.6165,10.2893,9.1835,13.5736,P
2.4869,12.9667,8.3829,9.9392,9.9225,16.8146,P
8.8714,11.3252,4.8781,6.7859,8.3887,12.3129,N
31.474,2.391,9.7013,9.037,15.9398,8.5559,N
15.8194,5.2403,11.7254,10.2781,9.521,10.0742,P
4.2363,15.3448,6.9037,9.8972,11.1304,18.4716,P
3.2244,6.4375,8.8707,12.3337,11.7477,15.7173,P
5.5451,1.9739,13.7354,14.7671,15.5907,9.6133,N
0.7651,3.7383,16.2591,8.2305,10.2477,11.0875,P
5.5508,17.3998,9.5121,7.4274,11.8647,9.1325,N
9.9257,5.2216,7.2901,10.1039,11.3479,10.4325,N
3.0773,10.9127,11.0876,7.8416,8.2855,9.4186,N
3.5157,12.9606,11.8397,9.5314,13.4466,13.8185,P
9.4031,6.3509,6.4835,12.3291,9.6248,11.8017,P
8.9124,2.2288,5.9079,7.7173,11.2165,12.199,P
1.1816,12.863,6.9639,8.001,9.9413,10.6494,P
12.3524,3.3046,7.8563,8.9737,11.2226,8.1817,P
0.2397,15.9174,10.2723,10.0059,10.4547,11.7856,P
2.4848,4.3205,5.5318,13.475,15.0874,11.2649,P
4.1663,27.7939,6.604,9.8769,13.3531,9.0816,N
18.1663,3.1239,10.2948,9.4365,14.6301,9.1846,N
4.6521,8.2859,9.1286,8.9596,30.3435,19.6299,P
0.0064,5.3725,13.6629,8.6784,8.3916,13.0863,P
1.6992,26.6923,11.9649,12.671,8.9738,13.7097,P
19.9744,15.7922,11.109,8.703,9.108,12.1202,P
16.0103,26.05,4.8875,9.7857,8.9432,15.5092,N
19.985,4.5998,7.5837,13.8156,12.7291,11.3898,P
0.9758,8.7309,10.8148,12.3444,10.5236,9.6659,P
7.7464,6.1099,7.4099,9.735,9.5443,11.0574,P
9.8055,7.7922,13.9627,6.352,18.2746,9.9552,N
0.7389,2.8774,8.1115,11.0427,12.5399,10.793,P
0.9001,20.4165,7.5028,10.9167,10.9455,10.9205,P
27.0299,9.0459,11.6312,9.692,10.5936,8.6516,P
20.3081,6.1773,9.2947,9.0511,29.9197,10.6823,N
1.8993,13.1269,7.5567,8.3011,13.8795,11.0455,N
1.7268,5.0778,9.0967,14.1887,8.7445,17.5623,P
7.6905,10.2553,11.7447,7.2541,12.3967,12.1807,P
11.5075,2.5067,11.5401,12.1861,15.5514,8.2552,N
10.9347,8.6829,7.7334,11.8289,9.5637,11.7646,P
3.252,4.6915,7.2515,12.0127,10.804,9.1156,N
12.3645,11.0314,9.2599,6.3496,8.0052,12.5236,P
15.5429,7.7438,10.1737,10.1809,13.2619,9.9158,N
2.2656,8.8048,11.7778,11.6625,11.4135,13.634,P
3.742,11.7432,9.4608,12.4086,8.325,13.4998,N
10.5168,101.919,4.9807,9.2582,16.2688,13.5227,N
14.9942,8.5651,47.4949,7.2433,16.5174,23.8405,P
6.842,6.3934,10.4328,10.4975,30.3429,10.9627,N
1.2643,13.0633,7.685,10.5628,10.831,10.5086,P
7.204,6.4591,12.7499,8.9016,10.3369,11.2344,P
2.168,40.8602,13.1704,12.4099,31.2951,8.764,P
10.3959,2.3792,8.8401,5.8642,9.7123,11.1407,N
3.288,36.5441,7.2587,21.7964,9.0209,9.2717,P
10.9411,5.5923,8.4762,19.0762,9.2427,13.3143,N
1.7918,2.2055,10.2055,28.4934,9.8106,8.48,P
3.0512,9.4779,16.4239,8.0076,9.4943,10.3377,P
9.3388,5.035,8.1844,9.4124,14.0292,11.7043,P
14.396,6.8411,5.8101,41.282,8.992,14.0436,P
18.0637,7.4274,9.2644,10.8788,10.9497,11.0212,P
16.0336,4.6163,8.7767,9.573,18.3835,11.8592,P
3.7137,13.4488,6.1648,10.8429,9.955,9.2142,N
31.6006,11.3985,14.3677,6.6923,10.8151,12.2357,N
0.4985,12.8717,8.8619,7.862,11.1777,8.0986,N
8.7575,17.0867,7.0634,6.6544,9.7216,11.0647,P
2.1079,10.0988,8.3337,9.5455,9.122,10.1489,N
4.0772,8.63,9.6162,11.1747,11.8547,13.2319,P
18.9215,13.1829,18.3809,15.5134,12.2014,12.4009,N
1.9905,4.7369,11.4213,10.984,16.2085,10.0128,P
14.3133,11.1113,9.344,13.2588,12.6548,18.6115,P
1.3421,28.6438,9.8044,7.9474,9.4931,9.9947,P
1.2601,13.8498,10.9325,10.8599,9.4864,10.197,P
60.7525,10.8372,8.2881,9.9245,12.015,13.3467,P
7.1771,6.1098,7.8467,10.3992,8.5096,12.0407,P
0.2751,18.4069,12.5372,13.573,10.1476,13.5279,P
6.6291,8.4144,6.7499,9.4119,13.1693,12.6058,N
7.1651,5.5679,8.6788,12.5915,9.8133,12.099,P
0.3514,3.1095,13.3891,11.5365,11.8274,11.8146,P
12.0753,5.195,9.773,9.0993,16.572,15.6693,P
12.438,30.2538,14.0721,11.7703,10.6809,10.705,N
8.1565,3.3707,20.2582,6.4021,8.1282,10.1177,P
13.2844,4.6119,10.5438,9.0137,12.6496,10.1713,P
19.1612,8.8965,8.0404,12.7837,7.198,11.7119,P
1.8067,2.7821,9.6059,9.7566,9.0434,11.1499,N
6.1603,13.6102,14.6828,11.1997,29.6195,11.5276,N
3.4627,2.9259,10.7497,6.6948,9.6301,10.1378,N
3.969,7.012,6.6329,18.8739,12.3989,11.7902,P
12.3433,7.2877,12.8877,10.3318,23.971,11.5334,P
0.3246,13.404,9.1197,18.4282,8.9918,9.932,N
2.4452,11.2308,12.9676,7.4593,10.5372,18.4384,P
2.1093,10.5088,5.6328,9.9688,7.9183,13.0447,N
2.4975,14.6485,9.7712,8.9296,15.0181,8.8726,N
13.0398,4.0999,6.1056,12.9707,9.1147,13.6868,P
2.5717,11.5008,8.2067,8.9386,9.6103,9.1881,P
12.1212,6.6647,10.1765,8.2239,9.7387,14.511,N
8.0327,3.7342,8.4079,11.8543,12.0878,10.8242,N
11.366,16.6835,7.0151,12.5096,11.5228,22.7536,N
3.9923,4.0552,10.1448,10.2347,15.9481,11.2076,N
9.4823,5.1475,10.3126,11.5755,11.4126,14.1531,N
7.6389,10.815,9.5548,11.2622,10.6362,13.0214,N
19.4023,24.4027,11.3129,14.6343,9.5115,14.7684,P
2.5618,13.5792,14.6494,8.7829,10.1163,22.6413,P
4.5821,20.3003,16.7894,13.6851,10.9276,12.2041,N
66.9694,15.1295,8.7741,41.2179,9.6462,22.5386,N
7.2613,7.4697,6.1062,24.6684,10.5233,9.5658,P
3.2336,11.122,6.2233,10.4227,9.7321,9.79,P
0.0205,4.7937,20.1215,7.1969,11.6419,10.5934,P
4.5516,3.7797,13.2316,9.8752,10.6145,7.659,N
20.388,21.2863,10.5952,8.3115,23.5478,11.1344,N
14.6223,5.0982,6.4688,28.5502,8.3311,13.5212,N
3.3616,14.4555,13.5428,13.2898,11.9629,18.2243,P
17.5122,2.1126,13.0772,9.242,20.6773,9.538,P
2.733,6.4161,10.068,10.3007,9.0829,18.7618,P
1.0076,9.6991,14.012,18.8095,16.7686,8.05,N
7.0456,9.7263,5.2448,10.5558,16.7028,12.8872,P
4.2745,7.3827,10.5877,7.5941,8.7896,10.7471,N
7.6523,7.7079,9.8826,20.8162,16.9146,10.8832,N
5.0749,6.2034,7.0212,11.1788,18.2216,15.4745,P
4.1557,4.2722,4.8267,9.5636,8.9989,10.6911,P
0.0453,11.6999,6.4987,9.3124,9.1809,10.8577,P
1.9686,4.8321,9.6351,6.4565,14.8904,10.8076,N
0.8181,1.8401,10.2087,7.7662,7.8145,11.3113,N
20.8427,3.6152,12.6246,14.6107,9.1281,9.0992,P
0.8054,5.6455,64.9326,10.5515,12.3986,13.8931,N
2.2366,7.6901,7.6175,11.6154,23.7062,22.1454,P
11.4558,13.8586,4.7015,7.9773,12.8247,8.5434,P
3.0823,3.8867,5.8517,9.5827,15.1612,9.3781,N
1.0748,22.7451,11.1205,12.0508,14.0235,10.4056,P
3.5751,7.787,24.7551,7.2944,9.0907,9.706,P
18.4074,11.5434,8.6047,10.2246,10.7818,10.2347,P
2.8581,2.827,8.0575,6.0858,9.767,22.7417,N
24.5317,10.9294,8.8608,10.8354,15.182,10.064,P
4.3522,3.9047,6.1817,11.3275,10.3708,9.1149,P
8.9506,12.1061,6.5731,11.6178,9.1425,11.003,N
15.311,4.3538,8.2501,7.9642,9.7597,10.5063,P
7.7555,6.9946,6.9119,10.7988,11.9458,9.7114,P
4.8939,9.0371,6.0939,6.6527,8.6652,8.7998,P
2.3674,9.8888,8.9643,14.4895,9.3834,10.4613,N
2.0916,6.6219,10.8899,13.0148,9.3592,9.7395,N
0.804,10.6575,4.4002,8.8055,7.5198,11.4977,P
13.0292,10.4893,4.4964,11.7568,16.3469,9.2152,N
6.3109,11.3727,8.6194,11.5226,11.3417,12.9886,N
5.8244,11.6358,11.348,7.2839,16.0846,22.4831,N
10.2488,10.7072,9.3573,12.8667,7.5291,12.2836,P
4.442,14.5975,8.0177,10.8864,15.8307,10.1546,N
7.6078,8.1797,7.8864,11.2861,8.6099,15.5208,P
5.7481,4.7145,13.5392,11.5195,10.9165,10.4194,P
4.1981,10.5787,12.6823,13.9207,8.608,11.0301,P
21.9005,4.1148,10.7802,14.8788,9.5345,10.7308,N
2.5343,5.9883,23.5489,10.3527,10.7627,16.984,N
8.3092,6.793,9.5073,8.6665,11.1781,11.9891,P
17.6685,5.0669,64.5758,13.3149,8.0287,12.4747,N
4.6231,10.5856,15.7565,8.8943,10.246,9.6355,P
22.5001,12.8111,11.375,9.2511,15.4528,16.2699,N
14.6944,30.0705,22.5303,14.4889,8.718,8.589,P
0.1301,9.4408,12.3041,6.6113,8.5346,10.042,N
6.8462,16.0949,10.4589,41.3163,8.0006,9.3457,P
1.5238,7.0465,8.4316,8.8537,11.2694,11.3322,N
1.6377,4.5372,6.2476,25.8485,11.5424,12.5816,P
3.8389,16.6503,16.4669,17.7627,8.5729,13.9304,P
4.0722,2.9686,5.0279,41.0068,8.1115,8.3861,P
3.6762,17.819,5.3573,6.2149,15.1651,10.9215,P
17.6253,7.3664,8.0149,9.544,17.3737,8.3529,P
1.9679,10.3223,13.8781,8.962,13.7128,10.539,N
16.8829,11.4596,23.0559,13.3526,11.0399,12.7174,N
25.2154,12.3688,11.7371,21.5885,10.0606,14.002,P
31.6395,6.5724,7.9757,7.5441,10.6188,11.3889,P
46.2787,6.4421,10.6689,8.0091,14.1196,11.5461,P
12.8227,29.5599,6.5022,17.5427,8.9086,11.6014,N
13.2533,7.7544,10.9716,9.1616,15.4446,13.2117,P
9.1379,8.3758,8.5002,15.4391,10.5003,8.9446,N
10.0367,6.9447,8.3678,7.7081,10.7877,8.7331,N
3.4323,15.3788,6.8123,10.549,12.568,9.9087,N
6.3336,13.2146,10.1734,7.8583,9.8131,9.9531,P
1.999,8.6324,4.876,10.4263,11.868,11.1398,P
0.4921,14.9034,13.9747,14.8698,10.0893,10.2935,P
3.6607,6.3704,18.096,9.3268,11.4224,11.7901,P
0.4639,3.9211,7.3734,6.8203,24.2419,10.9288,N
11.1426,7.9089,11.963,8.2471,22.8288,9.6894,N
12.4465,12.7075,5.754,7.5589,9.1114,10.3276,P
8.7809,1.98,11.4822,11.6414,8.6333,10.7549,N
3.7915,9.2592,6.3454,15.3362,11.8687,14.4362,P
9.3989,11.1545,19.7269,12.0927,10.6115,11.1042,N
15.1222,4.763,8.3613,7.4973,11.6495,9.603,P
0.6392,12.6588,10.0679,6.5909,9.7701,10.0901,P
9.4271,8.5631,5.9521,8.332,10.108,22.1808,P
9.2235,4.9091,7.9385,7.5885,8.8558,11.9266,P
2.2684,7.6314,9.4071,8.8819,10.0513,9.6354,N
5.4122,7.8422,9.6408,13.1693,12.7481,10.4166,P
11.9572,13.2366,6.3407,7.3819,10.1874,15.5507,P
5.0162,5.8355,9.909,20.1498,10.0531,9.342,N
4.9992,6.7955,10.2226,8.773,17.3093,14.2922,N
9.4519,16.076,8.4283,14.0683,9.5874,13.5521,N
3.7844,1.418,10.3797,11.0758,9.5908,15.1541,N
7.3978,14.1327,8.3229,7.6934,29.5683,12.9919,P
20.6921,10.5602,13.8121,8.7461,10.1231,10.2815,P
13.0157,16.2304,13.2085,8.7526,10.0765,11.1302,P
11.9247,7.8318,15.9283,6.6745,16.3813,11.0988,P
0.7863,11.908,12.2703,8.5283,9.6093,11.9303,N
14.2687,6.2315,9.1519,11.3582,9.4688,11.3333,P
0.3712,14.5021,7.9442,12.2718,7.6968,11.949,N
16.8207,13.9918,10.6655,6.127,8.0336,7.6178,P
21.4133,11.9329,8.5374,22.6644,12.4995,12.6031,N
9.6435,4.1408,9.4314,7.2817,8.5287,15.1391,N
5.9545,13.6406,16.5216,10.8,8.4272,13.3364,P
9.7362,11.4115,8.4098,8.2677,10.9941,15.1676,P
5.3648,2.3459,8.2328,9.7394,9.4079,10.9446,P
4.2582,14.0064,7.4394,11.8643,9.601,11.1006,P
7.4614,12.3712,10.3068,21.4937,16.8752,22.6933,P
7.0159,10.1929,12.4975,14.2934,9.4706,17.2949,N
0.5643,4.3168,10.3624,15.3463,17.4879,10.6527,P
6.9657,5.084,8.8179,10.636,10.7235,12.9339,N
3.1947,9.7287,6.4772,15.8926,8.7115,10.6061,N
0.0269,8.9211,9.233,11.4056,11.8925,11.2415,N
0.5261,14.0428,11.1366,9.3699,10.1381,10.5672,P
1.2141,8.2472,10.0103,10.1667,11.2661,10.4986,N
10.683,8.2853,20.1849,18.5169,12.1466,11.5513,P
13.0659,6.9725,11.7862,10.2106,12.756,12.7965,N
5.3839,4.7523,8.2094,13.4052,9.9968,10.6441,P
5.4857,5.3777,21.2943,12.3092,8.2982,14.4313,N
1.1441,7.085,5.5363,11.3462,11.4883,10.4842,N
5.193,10.8669,17.5795,9.6494,11.7873,18.1717,P
6.2636,7.1978,10.061,11.9592,16.4911,22.2916,P
6.9098,7.0224,28.1001,11.5079,13.4534,12.9578,N
2.8581,3.0897,5.3645,10.7809,22.8417,16.8815,N
8.1904,24.0347,19.2384,13.7319,11.2893,11.3497,N
15.562,10.3412,7.7846,12.0311,10.5856,10.6885,N
5.4419,15.5734,13.1146,8.8565,5.5331,10.4772,P
9.116,6.8511,13.239,6.5911,9.2595,10.4314,N
13.382,2.6387,64.7902,9.9426,11.8622,11.7785,N
5.7863,5.5921,14.4293,14.3105,14.2354,9.8646,P
3.8735,4.9331,7.9435,6.3757,11.7698,12.9974,P
0.1336,4.9928,14.7277,7.781,11.7374,10.2552,P
17.7689,10.7516,7.3461,17.0938,11.0859,12.734,P
99.9078,5.0787,9.8918,9.7055,10.3413,10.1865,N
0.1273,8.3178,11.0432,8.2627,16.2812,12.4748,P
16.7351,2.214,11.0397,9.0847,8.9844,11.4919,P
7.0357,6.3537,10.6918,9.1026,8.6626,22.768,N
0.5459,14.1497,17.6064,9.8797,23.5263,13.9806,P
14.7665,11.6807,14.0203,9.3321,8.6501,10.6714,N
8.4471,4.8923,8.4223,14.1787,11.3199,8.6783,N
8.7702,8.2924,8.6631,10.6033,8.1527,10.9207,N
0.3946,10.6068,9.3303,9.8181,8.6568,10.7351,P
13.5305,79.4687,15.0184,8.6349,9.329,9.0389,N
4.4972,5.1262,11.1142,11.392,17.766,11.6361,P
2.8235,5.0169,6.5798,9.9615,10.1482,16.2554,P
7.4925,15.6306,9.5966,10.8527,8.3708,9.2986,N
