"Tempreture","Pump_Pressure","inlet_Pressure","Oulet_Pressure","Flowrate","Pump_Status"
35.300663,11.245605,4.137573,16.524336,274.967682,Stopped
35.29184,11.244141,4.177856,16.490612,273.261963,Stopped
34.980122,11.242676,4.190063,16.499186,276.1315,Stopped
34.980656,11.242676,4.237671,16.746704,273.617981,Stopped
34.890713,11.241211,4.25354,16.525087,273.701019,Stopped
34.907478,11.241211,4.299316,16.532982,270.527283,Stopped
34.828186,11.244141,4.336548,16.781975,274.775513,Stopped
34.85886,11.245605,4.293823,16.775642,273.718506,Stopped
35.001331,11.248535,4.283447,16.527941,275.617096,Stopped
35.033154,11.25,4.238281,16.522694,276.553436,Stopped
35.060085,11.25,4.224854,16.473513,274.185577,Stopped
35.047497,11.248535,4.188232,16.463675,276.95755,Stopped
35.069141,11.24707,4.160156,16.506422,276.588837,Stopped
35.057251,11.248535,4.190063,16.495451,273.970429,Stopped
35.084538,11.24707,4.238281,16.65984,278.067566,Stopped
35.087433,11.248535,4.190063,16.650627,280.730042,Stopped
35.286278,11.244141,4.200439,16.402163,277.779663,Stopped
35.283386,11.245605,4.188232,16.413725,278.960754,Stopped
35.212288,11.244141,4.191284,16.652653,279.634033,Stopped
35.214413,11.245605,4.240112,16.652536,279.189636,Stopped
34.743176,11.241211,4.248657,16.602028,277.717773,Stopped
34.747341,11.239746,4.213257,16.601995,279.5914,Stopped
35.464375,11.238281,4.204102,16.591108,278.833008,Stopped
35.511612,11.239746,4.160156,16.593666,277.52124,Stopped
35.737305,11.238281,4.14917,16.414516,279.430237,Stopped
35.712257,11.239746,4.105835,16.437538,281.093475,Stopped
35.683819,11.241211,4.094849,16.675247,278.833405,Stopped
35.693569,11.239746,4.052734,16.66691,278.754761,Stopped
35.552204,11.238281,4.055176,16.515282,275.593079,Stopped
35.529114,11.241211,4.104004,16.516186,274.757904,Stopped
35.508827,11.241211,4.120483,16.66725,278.671448,Stopped
35.499043,11.238281,4.161377,16.670795,276.812195,Stopped
35.585255,11.239746,4.180298,16.537821,277.700897,Stopped
35.609364,11.238281,4.213867,16.558487,278.929077,Stopped
35.631073,11.239746,4.230957,16.80234,277.76886,Stopped
35.622654,11.236816,4.263916,16.790701,277.017151,Running
35.662338,11.238281,4.274292,16.544161,277.854736,Running
35.650959,11.236816,4.32251,16.544218,278.89856,Stopped
35.504425,11.236816,4.342041,16.590799,275.560333,Stopped
35.470158,11.233887,4.390869,16.604368,279.049103,Stopped
35.484062,11.232422,4.388428,16.8524,277.479065,Stopped
35.475475,11.230957,4.338989,16.889668,276.52655,Stopped
35.324028,11.232422,4.320068,17.123934,278.57663,Stopped
35.334469,11.230957,4.284668,17.089138,276.51181,Stopped
35.255157,11.232422,4.273682,16.840458,276.540253,Stopped
35.275745,11.230957,4.226074,16.816687,278.720367,Stopped
35.326233,11.232422,4.223022,16.572157,277.140869,Stopped
35.334427,11.233887,4.173584,16.336182,276.831421,Stopped
35.362415,11.232422,4.179077,16.580545,278.905121,Stopped
35.358585,11.230957,4.226685,16.60203,275.910492,Stopped
35.490658,11.233887,4.234009,16.602003,277.075897,Stopped
35.481655,11.232422,4.281006,16.605635,280.079468,Stopped
35.507729,11.230957,4.273071,16.601934,279.163391,Stopped
35.510235,11.229492,4.226074,16.656235,276.203613,Stopped
35.484493,11.229492,4.21936,16.652258,278.90094,Stopped
35.465538,11.230957,4.172363,16.697428,279.380981,Stopped
35.4967,11.228027,4.177856,16.688814,281.191864,Stopped
35.510532,11.229492,4.223022,16.644867,279.672669,Stopped
35.538681,11.230957,4.217529,16.633663,279.348785,Stopped
35.554707,11.228027,4.172363,16.386349,282.625641,Stopped
35.347809,11.229492,4.171143,16.395708,281.205841,Stopped
35.323616,11.226563,4.216309,16.638084,282.580139,Stopped
35.270988,11.228027,4.208984,16.625414,283.057465,Stopped
35.280033,11.228027,4.161377,16.615473,282.420868,Stopped
35.274551,11.229492,4.162598,16.413191,280.962677,Stopped
35.278992,11.228027,4.211426,16.422369,284.089417,Stopped
35.348534,11.230957,4.221191,16.66465,281.810761,Stopped
35.371147,11.228027,4.269409,16.649048,279.519562,Stopped
35.473381,11.229492,4.263306,16.408932,281.79837,Stopped
35.49625,11.228027,4.21875,16.424461,282.856049,Stopped
35.62035,11.229492,4.211426,16.659924,285.642212,Stopped
35.639004,11.228027,4.16626,16.764116,285.222229,Stopped
35.591114,11.230957,4.172974,16.755749,281.631775,Stopped
35.578396,11.230957,4.21875,16.627213,284.858795,Stopped
35.419472,11.229492,4.216919,16.622633,285.778107,Stopped
35.417507,11.232422,4.168701,16.436256,283.132202,Stopped
35.473019,11.229492,4.163208,16.44537,282.895538,Stopped
35.48114,11.229492,4.11438,16.688702,285.957977,Stopped
35.445168,11.230957,4.123535,16.68775,282.673889,Stopped
35.436455,11.230957,4.16626,16.585472,282.774139,Stopped
35.429058,11.232422,4.178467,16.586433,279.93454,Stopped
35.447929,11.233887,4.221191,16.835827,282.114685,Stopped
35.312782,11.232422,4.224243,16.819824,283.897247,Stopped
35.325047,11.232422,4.271851,16.579512,279.960846,Stopped
35.113842,11.233887,4.277344,16.588947,281.93158,Stopped
35.111954,11.236816,4.32373,16.8298,283.878998,Stopped
35.169872,11.238281,4.315796,16.58123,281.75531,Stopped
35.145092,11.242676,4.273682,16.573038,283.089966,Stopped
35.180782,11.241211,4.268799,16.502796,284.569061,Stopped
35.169289,11.248535,4.21936,16.746775,282.626892,Stopped
35.168552,11.24707,4.213257,16.506336,279.277405,Stopped
35.19109,11.25293,4.168091,16.265892,282.038361,Stopped
35.452518,11.254395,4.169312,16.510159,281.476746,Stopped
35.463871,11.257324,4.21875,16.518114,278.684998,Stopped
35.374783,11.258789,4.217529,16.608812,280.816406,Running
35.362526,11.263184,4.21875,16.605656,282.448761,Running
35.649651,11.269043,4.210815,16.687908,283.00885,Running
35.665394,11.267578,4.162598,16.685118,284.260223,Running
35.810795,11.267578,4.171753,16.435118,282.739471,Running
35.788189,11.269043,4.213257,16.445873,281.838257,Running
35.723164,11.270508,4.215698,16.638256,278.333099,Running
35.711216,11.269043,4.203491,16.639103,281.491028,Running
35.830399,11.273438,4.189453,16.705372,282.092773,Running
35.83733,11.271973,4.14978,16.700171,284.278351,Running
35.874126,11.273438,4.153442,16.645094,282.124176,Running
35.847363,11.274902,4.202881,16.632746,279.639679,Running
35.916084,11.274902,4.215698,16.385202,284.084656,Running
35.925018,11.271973,4.25415,16.401007,283.803864,Running
35.89362,11.270508,4.248657,16.638222,281.80304,Running
35.858074,11.267578,4.203491,16.638372,286.437286,Running
35.846638,11.269043,4.20105,16.682104,282.645325,Running
35.878841,11.269043,4.187622,16.678381,282.256714,Running
35.796906,11.266113,4.179077,16.583679,284.076782,Running
35.789669,11.267578,4.13208,16.59267,285.199432,Running
35.774773,11.266113,4.137573,16.834295,285.016785,Running
35.767826,11.267578,4.18457,16.810791,283.253235,Running
35.740963,11.269043,4.193115,16.573074,284.236176,Running
35.729054,11.271973,4.240723,16.57276,285.849609,Running
36.106342,11.273438,4.25415,16.671715,282.558411,Running
36.158855,11.279297,4.291382,16.660357,283.000549,Running
36.500557,11.277832,4.28833,16.465744,286.555054,Running
36.522354,11.279297,4.240723,16.473867,286.860107,Running
36.504223,11.280762,4.230957,16.620115,282.777527,Running
36.493408,11.283691,4.18457,16.630964,284.933991,Running
36.59095,11.282227,4.180298,16.533985,286.42691,Running
36.602985,11.285156,4.133911,16.532402,284.103882,Running
36.56937,11.282227,4.146118,16.623545,283.541168,Running
36.563137,11.283691,4.194946,16.622234,286.95636,Running
36.816921,11.285156,4.20166,16.661682,285.774689,Running
36.811134,11.286621,4.249268,16.645201,284.481201,Running
36.731358,11.285156,4.241943,16.399931,282.952362,Running
36.719208,11.285156,4.194336,16.406719,287.194,Running
36.684059,11.286621,4.187012,16.650377,286.646668,Running
36.656643,11.285156,4.140015,16.63434,285.184876,Running
36.957642,11.286621,4.143066,16.387722,287.761749,Running
36.987259,11.286621,4.190674,16.377775,283.532135,Running
37.101601,11.289551,4.197388,16.461716,287.455841,Running
37.099888,11.286621,4.242554,16.470577,286.388275,Running
36.796444,11.289551,4.234619,16.714512,285.991028,Running
36.830112,11.289551,4.188232,16.708984,284.575134,Running
36.901947,11.291016,4.186401,16.536995,286.269409,Running
36.899548,11.293945,4.138184,16.544722,287.100098,Running
37.15097,11.29248,4.151611,16.793615,288.915253,Running
37.174179,11.29834,4.193726,16.773777,287.749115,Running
37.336872,11.296875,4.196777,16.525398,286.713074,Running
37.339115,11.299805,4.244385,16.540602,290.507965,Running
37.55241,11.29834,4.242554,16.789768,288.782593,Running
37.547703,11.29834,4.199829,16.770105,287.736725,Running
37.602333,11.296875,4.197388,16.746689,290.102936,Running
37.616791,11.293945,4.14917,16.738781,287.573639,Running
37.673271,11.29248,4.154053,16.492367,290.673401,Running
37.709309,11.293945,4.20166,16.513224,290.066834,Running
37.721138,11.29248,4.215698,16.755672,286.607727,Running
37.848286,11.29541,4.259644,16.746065,292.014313,Running
37.824539,11.29248,4.279175,16.737617,292.697205,Stopped
37.939068,11.291016,4.32312,16.724609,294.368958,Running
37.9356,11.29248,4.317627,16.482656,295.741333,Running
37.966858,11.289551,4.273071,16.457924,293.25235,Running
37.941631,11.288086,4.262085,16.461929,293.914032,Running
37.683739,11.288086,4.21814,16.638309,297.280243,Running
37.67651,11.282227,4.212036,16.639076,298.271698,Running
37.478455,11.283691,4.16748,16.681149,295.971314,Running
37.492325,11.280762,4.182739,16.677959,294.578705,Running
37.384937,11.282227,4.227905,16.696066,297.23288,Running
37.388191,11.277832,4.221191,16.688778,297.024902,Running
37.207386,11.279297,4.172974,16.4438,295.343536,Running
37.229073,11.277832,4.177856,16.68881,298.038818,Running
37.448994,11.277832,4.226685,16.442055,299.54834,Running
37.433064,11.276367,4.234619,16.436268,299.046631,Running
37.530262,11.274902,4.277954,16.548309,297.438507,Running
37.548813,11.276367,4.265747,16.548426,301.545105,Running
37.502644,11.276367,4.222412,16.586243,301.925354,Running
37.486938,11.273438,4.215088,16.584246,304.231476,Running
37.460342,11.274902,4.169922,16.680565,300.14444,Running
37.475376,11.271973,4.172974,16.67329,300.695252,Running
37.504379,11.273438,4.220581,16.430223,299.259033,Running
37.501045,11.273438,4.216309,16.642263,297.671326,Running
37.458466,11.271973,4.168701,16.641777,302.060547,Running
37.457672,11.270508,4.155273,16.731691,303.206055,Running
37.461269,11.269043,4.11438,16.730038,300.665192,Running
37.47646,11.269043,4.102783,16.71673,300.597229,Running
37.36618,11.267578,4.060059,16.709414,302.983795,Running
37.383404,11.269043,4.064941,16.4657,301.95285,Running
37.36031,11.266113,4.110107,16.482452,300.975464,Running
37.364426,11.267578,4.117432,16.717285,303.092896,Running
37.351357,11.264648,4.163818,16.578705,300.625732,Running
37.37352,11.267578,4.185791,16.576061,300.387299,Running
37.330311,11.263184,4.215088,16.637974,304.273407,Running
37.332333,11.264648,4.224854,16.634598,298.01709,Running
37.309258,11.263184,4.266357,16.693707,300.832977,Running
37.315933,11.261719,4.277344,16.701611,301.8237,Running
37.31871,11.258789,4.321289,16.757078,296.569031,Running
37.331959,11.260254,4.34021,16.745735,297.388245,Running
37.310772,11.258789,4.383545,16.646902,301.531525,Running
37.298504,11.257324,4.37561,16.399736,301.538452,Running
37.176701,11.257324,4.331665,16.613365,300.496399,Running
37.200161,11.255859,4.320679,16.624264,299.15271,Running
37.295879,11.25293,4.281616,16.872889,296.427673,Running
37.304726,11.254395,4.273071,16.848545,294.985779,Running
37.337433,11.24707,4.226685,16.600674,298.348999,Running
37.336029,11.25,4.21875,16.591175,297.694489,Running
37.260689,11.245605,4.172363,16.650343,294.045807,Running
37.287472,11.24707,4.179688,16.648533,296.776764,Running
37.385345,11.245605,4.223022,16.687935,296.222931,Running
37.395546,11.244141,4.215088,16.688852,294.82431,Running
37.338921,11.242676,4.169922,16.784187,292.499207,Running
37.32201,11.244141,4.159546,16.786104,291.288483,Running
37.327099,11.238281,4.119263,16.717945,290.407105,Running
37.326477,11.239746,4.13208,16.719145,293.962158,Running
37.260876,11.238281,4.178467,16.968895,291.650299,Running
37.245129,11.236816,4.18335,16.954411,291.210022,Running
37.181999,11.233887,4.229736,16.708731,287.211121,Running
37.197025,11.235352,4.213257,16.710539,291.105377,Running
37.198544,11.232422,4.177246,16.679783,290.002564,Running
37.200394,11.230957,4.18396,16.659708,288.281158,Running
37.16885,11.230957,4.231567,16.422308,287.747742,Running
37.168976,11.228027,4.23645,16.39583,287.222321,Running
37.006824,11.226563,4.284058,16.160543,285.935761,Running
37.038544,11.222168,4.277344,16.153942,288.047913,Running
37.029217,11.219238,4.230347,16.374611,286.945221,Running
36.896946,11.220703,4.227295,16.352455,285.463501,Running
36.916069,11.219238,4.180298,16.117401,284.209412,Running
36.880714,11.216309,4.168091,16.1105,283.291382,Running
36.873528,11.217773,4.128418,15.866984,285.374725,Running
36.916546,11.214844,4.13208,15.857803,282.665772,Running
36.881001,11.217773,4.179688,15.938478,282.765595,Running
36.600834,11.219238,4.185181,15.945069,286.272766,Running
36.583965,11.220703,4.230347,16.191969,282.61026,Running
36.558792,11.220703,4.234619,16.198799,283.154907,Running
36.549213,11.219238,4.282227,16.44475,284.902618,Running
36.53421,11.225098,4.294434,16.457825,282.639038,Running
36.530617,11.223633,4.3396,16.699335,281.462647,Running
36.432709,11.226563,4.345703,16.595438,283.661804,Running
36.424664,11.225098,4.3927,16.599936,283.546173,Running
36.573875,11.228027,4.400024,16.630968,279.815308,Running
36.575176,11.229492,4.447021,16.630981,281.294037,Running
36.56934,11.232422,4.433594,16.458557,278.041962,Running
36.542778,11.229492,4.396362,16.466995,281.610077,Running
36.300781,11.230957,4.387207,16.713696,277.641205,Running
36.300304,11.229492,4.341431,16.706848,279.766541,Running
36.177589,11.232422,4.335938,16.463602,279.852783,Running
36.169437,11.230957,4.286499,16.46789,281.720764,Running
36.281403,11.235352,4.273682,16.598471,278.839356,Running
36.265476,11.233887,4.232788,16.602484,280.900482,Running
36.289333,11.235352,4.213257,16.479454,281.039642,Running
36.260521,11.233887,4.178467,16.482264,283.046051,Running
36.35891,11.235352,4.158325,16.729982,274.505615,Running
36.348633,11.233887,4.108887,16.721394,280.351349,Running
36.249558,11.236816,4.099121,16.47176,280.692383,Running
36.233742,11.235352,4.058838,16.464117,282.343658,Running
36.103958,11.235352,4.043579,16.629641,282.583984,Running
36.112129,11.233887,4.005127,16.616989,279.5242,Running
36.169987,11.232422,3.994751,16.378366,282.269348,Stopped
36.144783,11.229492,3.948364,16.396976,281.15686,Stopped
36.077301,11.230957,3.953857,16.634584,279.862915,Running
36.094673,11.225098,4.002075,16.638201,283.468689,Running
36.041721,11.226563,4.021606,16.504908,282.709961,Running
36.020081,11.222168,4.0625,16.631304,278.848206,Running
35.761688,11.220703,4.074097,16.633656,281.965881,Running
35.728775,11.222168,4.11377,16.572866,285.886108,Running
35.570171,11.219238,4.126587,16.571272,287.207245,Running
35.561268,11.219238,4.171753,16.679949,282.689941,Running
35.376499,11.217773,4.176025,16.675598,285.042542,Running
35.378384,11.216309,4.225464,16.577826,286.102264,Running
35.372005,11.214844,4.23645,16.567533,287.555176,Running
35.372902,11.211914,4.277344,16.325768,285.004608,Running
35.41214,11.210449,4.27002,16.57431,285.645905,Running
35.37772,11.210449,4.221191,16.610945,286.710236,Running
35.469646,11.208984,4.214478,16.608755,287.51828,Running
35.485748,11.20459,4.170532,16.587111,286.961121,Running
35.60294,11.206055,4.174805,16.585754,285.633606,Running
35.602947,11.203125,4.221802,16.62874,287.080566,Running
35.885338,11.20459,4.213257,16.631504,288.447296,Running
35.881092,11.200195,4.16748,16.518379,284.172607,Running
35.802513,11.20166,4.177246,16.529577,284.403442,Running
35.810539,11.200195,4.21814,16.696918,287.291687,Running
35.770317,11.19873,4.216919,16.702375,288.191498,Running
35.723927,11.19873,4.168091,16.471823,285.824127,Running
35.74168,11.200195,4.185791,16.479115,283.656647,Running
35.734913,11.19873,4.223022,16.548796,286.635254,Running
35.597134,11.197266,4.216919,16.545092,287.676971,Running
35.602757,11.19873,4.172363,16.478779,285.801697,Running
35.556648,11.19873,4.182129,16.474659,288.3732,Running
35.557972,11.195801,4.226685,16.681606,289.753632,Running
35.494148,11.19873,4.222412,16.68166,287.152039,Running
35.480556,11.197266,4.173584,16.544012,285.816834,Running
35.53051,11.194336,4.158936,16.541832,287.817383,Running
35.533417,11.195801,4.112549,16.638411,280.904114,Running
35.574409,11.192871,4.121094,16.641582,284.7146,Stopped
35.556553,11.194336,4.165039,16.406313,286.166046,Stopped
35.744614,11.191406,4.170532,16.648886,284.112549,Stopped
35.741554,11.189941,4.215698,16.559813,287.308411,Running
35.649109,11.188477,4.221802,16.553654,287.196747,Running
35.647709,11.189941,4.267578,16.67116,282.024811,Running
35.417774,11.188477,4.271851,16.668758,282.818512,Running
35.420609,11.187012,4.320068,16.725666,283.902802,Running
35.490025,11.184082,4.30603,16.730265,285.678101,Running
35.524433,11.185547,4.260254,16.610676,283.410797,Stopped
35.351555,11.182617,4.241943,16.610168,282.732422,Running
35.369942,11.184082,4.199829,16.586058,284.59726,Running
35.291767,11.182617,4.196777,16.575529,285.508575,Running
35.306129,11.179688,4.14978,16.331831,282.694702,Running
35.294918,11.181152,4.152832,16.342985,282.856659,Running
35.289303,11.179688,4.20105,16.587788,280.803131,Running
35.28347,11.178223,4.208374,16.649168,284.93869,Running
35.271641,11.179688,4.25415,16.639126,285.68811,Running
35.242596,11.178223,4.251709,16.622375,283.450806,Running
35.217499,11.178223,4.204102,16.634573,285.477478,Running
35.204491,11.176758,4.195557,16.720188,282.914795,Running
35.185936,11.176758,4.147339,16.722612,286.112183,Running
35.119343,11.175293,4.154053,16.659931,282.419495,Running
35.122326,11.175293,4.202881,16.660141,281.692932,Running
35.12434,11.173828,4.203491,16.629723,283.889496,Stopped
35.079121,11.170898,4.25293,16.611063,281.721741,Running
35.125397,11.172363,4.245605,16.37611,278.494751,Stopped
35.136635,11.170898,4.20105,16.386152,279.196808,Stopped
34.893276,11.172363,4.197998,16.632851,282.415924,Stopped
34.885601,11.169434,4.14978,16.582167,282.424835,Stopped
34.951683,11.167969,4.157104,16.587801,281.82254,Stopped
